iter	Passed	Remaining
0	21	21813
1	44	22092
2	58	19447
3	81	20217
4	93	18568
5	116	19371
6	171	24284
7	196	24370
8	220	24312
9	238	23610
10	262	23579
11	278	22924
12	291	22117
13	317	22365
14	363	23884
15	405	24920
16	428	24789
17	451	24644
18	485	25062
19	509	24986
20	533	24850
21	578	25735
22	604	25673
23	627	25498
24	651	25419
25	672	25211
26	696	25101
27	719	24976
28	745	24965
29	804	26018
30	835	26119
31	858	25973
32	871	25527
33	896	25481
34	910	25115
35	934	25026
36	960	25005
37	1009	25543
38	1023	25212
39	1046	25108
40	1068	24992
41	1092	24910
42	1116	24847
43	1140	24789
44	1165	24732
45	1203	24957
46	1232	24985
47	1262	25039
48	1286	24972
49	1307	24846
50	1332	24785
51	1355	24718
52	1385	24754
53	1429	25035
54	1458	25062
55	1482	24987
56	1502	24864
57	1523	24747
58	1542	24603
59	1565	24528
60	1589	24468
61	1626	24607
62	1664	24753
63	1688	24698
64	1713	24650
65	1737	24583
66	1760	24516
67	1784	24454
68	1812	24460
69	1855	24656
70	1886	24678
71	1908	24604
72	1932	24544
73	1954	24452
74	1962	24198
75	1984	24127
76	2007	24058
77	2031	24016
78	2074	24183
79	2112	24288
80	2138	24266
81	2149	24064
82	2169	23969
83	2189	23873
84	2211	23808
85	2221	23607
86	2251	23632
87	2296	23799
88	2331	23866
89	2361	23876
90	2371	23688
91	2395	23638
92	2418	23584
93	2431	23431
94	2446	23309
95	2480	23359
96	2527	23529
97	2559	23554
98	2583	23515
99	2609	23489
100	2629	23406
101	2652	23356
102	2677	23316
103	2716	23402
104	2760	23533
105	2772	23386
106	2801	23378
107	2825	23333
108	2849	23295
109	2864	23178
110	2888	23130
111	2910	23075
112	2942	23094
113	2985	23202
114	3017	23219
115	3032	23109
116	3052	23036
117	3074	22984
118	3098	22938
119	3107	22787
120	3131	22750
121	3163	22766
122	3204	22848
123	3227	22804
124	3241	22691
125	3266	22656
126	3290	22621
127	3316	22590
128	3337	22531
129	3358	22477
130	3412	22634
131	3436	22598
132	3475	22657
133	3502	22638
134	3529	22615
135	3554	22582
136	3567	22470
137	3593	22448
138	3622	22437
139	3696	22704
140	3727	22706
141	3750	22662
142	3774	22621
143	3798	22580
144	3822	22538
145	3859	22575
146	3895	22601
147	3916	22547
148	3925	22421
149	3953	22401
150	3975	22351
151	3997	22303
152	4006	22177
153	4029	22136
154	4055	22106
155	4097	22166
156	4128	22168
157	4144	22085
158	4167	22043
159	4190	21998
160	4212	21951
161	4218	21819
162	4247	21812
163	4265	21741
164	4321	21869
165	4340	21804
166	4353	21717
167	4374	21662
168	4396	21620
169	4421	21588
170	4429	21473
171	4454	21444
172	4492	21474
173	4538	21544
174	4555	21476
175	4580	21443
176	4602	21398
177	4625	21360
178	4651	21334
179	4689	21363
180	4736	21430
181	4763	21411
182	4777	21328
183	4802	21296
184	4814	21210
185	4822	21103
186	4845	21066
187	4861	20999
188	4884	20958
189	4918	20968
190	4945	20947
191	4987	20989
192	5014	20967
193	5027	20889
194	5050	20851
195	5073	20811
196	5085	20730
197	5110	20701
198	5141	20697
199	5185	20740
200	5216	20734
201	5239	20697
202	5261	20658
203	5288	20635
204	5312	20602
205	5338	20576
206	5375	20592
207	5417	20626
208	5443	20602
209	5465	20562
210	5487	20519
211	5510	20481
212	5532	20442
213	5554	20402
214	5576	20360
215	5616	20384
216	5662	20430
217	5687	20400
218	5696	20315
219	5720	20283
220	5744	20247
221	5766	20207
222	5787	20166
223	5810	20128
224	5844	20129
225	5890	20173
226	5934	20210
227	5960	20181
228	5984	20148
229	6005	20106
230	6029	20073
231	6053	20039
232	6106	20100
233	6135	20085
234	6158	20047
235	6179	20003
236	6202	19969
237	6223	19925
238	6245	19885
239	6275	19870
240	6318	19899
241	6351	19895
242	6377	19868
243	6401	19834
244	6423	19793
245	6446	19759
246	6472	19730
247	6487	19671
248	6532	19702
249	6566	19698
250	6576	19625
251	6599	19590
252	6624	19560
253	6650	19531
254	6673	19497
255	6719	19528
256	6769	19569
257	6798	19552
258	6825	19527
259	6849	19493
260	6872	19460
261	6897	19429
262	6924	19404
263	6962	19411
264	6999	19414
265	7025	19385
266	7048	19349
267	7071	19315
268	7093	19277
269	7117	19244
270	7150	19234
271	7192	19249
272	7221	19230
273	7244	19195
274	7267	19160
275	7294	19135
276	7320	19107
277	7346	19080
278	7380	19072
279	7424	19091
280	7450	19062
281	7474	19032
282	7498	18998
283	7522	18964
284	7543	18924
285	7566	18888
286	7593	18863
287	7639	18886
288	7672	18876
289	7698	18848
290	7722	18816
291	7743	18776
292	7765	18736
293	7787	18701
294	7825	18702
295	7869	18716
296	7893	18682
297	7915	18647
298	7937	18609
299	7959	18572
300	7981	18535
301	8009	18512
302	8039	18494
303	8086	18514
304	8117	18497
305	8133	18447
306	8157	18414
307	8173	18363
308	8195	18326
309	8216	18289
310	8241	18258
311	8279	18256
312	8321	18264
313	8348	18238
314	8374	18211
315	8397	18177
316	8421	18144
317	8447	18117
318	8487	18118
319	8523	18112
320	8547	18080
321	8574	18053
322	8598	18022
323	8620	17986
324	8645	17956
325	8709	18005
326	8746	18001
327	8773	17975
328	8798	17944
329	8815	17897
330	8838	17863
331	8860	17828
332	8884	17795
333	8908	17763
334	8934	17736
335	8974	17735
336	9010	17726
337	9036	17697
338	9060	17665
339	9084	17634
340	9107	17601
341	9129	17565
342	9151	17528
343	9190	17526
344	9225	17515
345	9250	17484
346	9273	17450
347	9298	17421
348	9323	17391
349	9349	17363
350	9383	17350
351	9429	17358
352	9454	17329
353	9477	17295
354	9500	17260
355	9522	17225
356	9544	17190
357	9567	17157
358	9592	17127
359	9638	17135
360	9677	17130
361	9704	17103
362	9727	17070
363	9748	17032
364	9770	16997
365	9792	16962
366	9825	16946
367	9869	16949
368	9896	16924
369	9921	16894
370	9942	16856
371	9965	16823
372	9988	16790
373	10015	16764
374	10052	16753
375	10100	16762
376	10123	16728
377	10145	16694
378	10168	16660
379	10189	16625
380	10211	16590
381	10235	16559
382	10261	16531
383	10308	16536
384	10344	16524
385	10372	16498
386	10397	16470
387	10421	16437
388	10443	16403
389	10465	16368
390	10508	16366
391	10542	16351
392	10567	16322
393	10590	16289
394	10616	16261
395	10639	16227
396	10664	16198
397	10728	16227
398	10763	16212
399	10787	16181
400	10811	16150
401	10831	16112
402	10851	16075
403	10878	16048
404	10920	16043
405	10953	16025
406	10976	15993
407	11000	15961
408	11021	15925
409	11044	15893
410	11066	15859
411	11100	15841
412	11143	15838
413	11176	15819
414	11201	15789
415	11223	15756
416	11249	15727
417	11273	15697
418	11298	15666
419	11334	15651
420	11374	15642
421	11397	15611
422	11422	15581
423	11447	15550
424	11469	15517
425	11491	15484
426	11524	15464
427	11566	15457
428	11596	15435
429	11619	15402
430	11641	15369
431	11667	15340
432	11689	15307
433	11714	15277
434	11743	15253
435	11790	15252
436	11825	15234
437	11855	15211
438	11880	15181
439	11903	15149
440	11923	15113
441	11943	15078
442	11976	15058
443	12020	15052
444	12048	15026
445	12070	14993
446	12094	14963
447	12119	14932
448	12145	14904
449	12169	14874
450	12201	14853
451	12243	14843
452	12276	14823
453	12298	14791
454	12321	14759
455	12349	14732
456	12374	14702
457	12398	14671
458	12435	14657
459	12484	14655
460	12510	14626
461	12535	14598
462	12560	14567
463	12584	14536
464	12606	14503
465	12627	14470
466	12664	14454
467	12714	14452
468	12741	14425
469	12766	14395
470	12788	14362
471	12808	14328
472	12829	14293
473	12849	14259
474	12879	14234
475	12922	14225
476	12957	14207
477	12983	14178
478	13009	14150
479	13034	14120
480	13056	14087
481	13079	14056
482	13118	14042
483	13158	14028
484	13182	13997
485	13206	13967
486	13230	13937
487	13251	13903
488	13273	13870
489	13312	13855
490	13355	13845
491	13382	13817
492	13405	13786
493	13427	13753
494	13450	13721
495	13464	13681
496	13487	13650
497	13510	13619
498	13547	13601
499	13601	13601
500	13632	13578
501	13663	13555
502	13690	13527
503	13717	13499
504	13743	13471
505	13785	13458
506	13817	13436
507	13839	13404
508	13863	13372
509	13887	13342
510	13908	13309
511	13931	13278
512	13957	13249
513	14002	13239
514	14037	13219
515	14062	13189
516	14083	13157
517	14104	13124
518	14129	13094
519	14153	13064
520	14191	13047
521	14231	13032
522	14259	13005
523	14283	12975
524	14305	12943
525	14329	12912
526	14361	12889
527	14407	12879
528	14441	12857
529	14466	12828
530	14491	12799
531	14515	12769
532	14539	12739
533	14564	12709
534	14603	12692
535	14641	12674
536	14672	12650
537	14697	12621
538	14719	12589
539	14745	12560
540	14768	12530
541	14805	12511
542	14841	12490
543	14865	12461
544	14890	12431
545	14913	12400
546	14937	12370
547	14962	12341
548	14997	12319
549	15043	12308
550	15071	12281
551	15096	12252
552	15121	12222
553	15145	12192
554	15166	12160
555	15187	12127
556	15213	12099
557	15258	12086
558	15295	12066
559	15322	12039
560	15344	12007
561	15365	11974
562	15386	11943
563	15408	11911
564	15439	11887
565	15480	11870
566	15509	11844
567	15532	11813
568	15557	11784
569	15582	11754
570	15606	11725
571	15634	11698
572	15688	11691
573	15728	11672
574	15752	11643
575	15775	11612
576	15797	11580
577	15820	11550
578	15842	11519
579	15864	11488
